District,Location,Sublocation,Male,Female,Total,Households,Area in Sq. Km.,Population Density,Division,Province
IGEMBE,KIENGU,A / NJUONE,2434,2339,4773,1040,3.43,1391.34,IGEMBE EAST,EASTERN
LAGDERA,ABAKAILE,ABAKAILE,3600,2702,6302,890,396.85,15.88,DADAAB,NORTH EASTERN
WAJIR SOUTH,ABAKORE,ABAKORE,3843,3286,7129,930,357.05,19.97,HABASWEN,NORTH EASTERN
IJARA,KOTILE,ABARATIRO,701,562,1263,173,27.74,45.54,MASALANI,NORTH EASTERN
WAJIR WEST,DELA,ABDIWAKO,2256,1660,3916,449,114.68,34.15,ELDAS,NORTH EASTERN
NYANDARUA NORTH,ABERDARE FOREST,ABERDARE FOREST,0,0,0,0,132.82,0,ABERDARE FOREST,CENTRAL
NYANDARUA SOUTH,ABERDARE FOREST,ABERDARE FOREST,0,0,0,0,117.41,0,ABERDARE FOREST,CENTRAL
MURANGA NORTH,ABERDARE FOREST,ABERDARE FOREST,27,15,42,19,173.92,0.24,ABERDARE FOREST,CENTRAL
MURANGA SOUTH,ABERDARE FOREST,ABERDARE FOREST,0,0,0,0,80.46,0,ABERDARE FOREST,CENTRAL
NYERI NORTH,ABERDARE FOREST,ABERDARE FOREST,0,0,0,0,301.47,0,ABERDARES FOREST,CENTRAL
BONDO,NORTH SAKWA,ABOM,2092,2265,4357,1015,16.25,268.13,MARANDA,NYANZA
TIGANIA,KIGUCHWA,ABONDII,1810,1891,3701,746,7.1,521.44,TIGANIA CENTRAL,EASTERN
SOTIK,ABOSI,ABOSI,2831,2937,5768,1109,10.44,552.52,ABOSI,RIFT VALLEY
TRANS MARA,OLOLMASANI,ABOSSI,3690,3760,7450,1329,19.76,377.03,OLOLMASANI,RIFT VALLEY
NYANDO,KIKOLO (EAST KANO),ACHEGO,1223,1407,2630,615,10.53,249.71,NYANDO,NYANZA
TESO SOUTH,ASINGE,ACHIIT,1097,1254,2351,437,5.23,449.42,CHAKOL,WESTERN
WAJIR NORTH,OLGOJI,ADADIJORE,2006,1612,3618,477,146.25,24.74,BUTE,NORTH EASTERN
